\newcommand{\cameraPoseData}{
(0.000,-0.319,1.694,-3.142,-0.000,-1.570)
(0.006,-0.320,1.693,-3.126,0.012,-1.572)
(0.002,-0.319,1.694,-3.136,0.004,-1.570)
(0.003,-0.320,1.693,-3.133,0.008,-1.571)
(0.002,-0.319,1.693,-3.136,0.004,-1.570)
(0.002,-0.319,1.693,-3.136,0.005,-1.571)
(0.001,-0.319,1.693,-3.138,0.003,-1.570)
(0.001,-0.319,1.693,-3.138,0.003,-1.570)
(0.001,-0.319,1.694,-3.140,0.002,-1.570)
(0.000,-0.319,1.694,-3.141,0.001,-1.570)
(-0.000,-0.319,1.694,3.141,-0.000,-1.570)
(-0.000,-0.319,1.694,3.140,-0.001,-1.570)
(-0.001,-0.319,1.694,3.139,-0.002,-1.570)
(-0.001,-0.319,1.694,3.138,-0.002,-1.570)
(-0.002,-0.319,1.694,3.137,-0.003,-1.570)
(-0.002,-0.319,1.694,3.136,-0.004,-1.569)
(-0.002,-0.319,1.694,3.135,-0.005,-1.569)
(-0.003,-0.319,1.694,3.134,-0.005,-1.569)
(-0.003,-0.319,1.694,3.133,-0.006,-1.569)
(-0.004,-0.318,1.694,3.132,-0.007,-1.569)
(-0.004,-0.318,1.694,3.131,-0.008,-1.569)
(-0.004,-0.318,1.694,3.130,-0.008,-1.569)
(-0.005,-0.318,1.694,3.128,-0.009,-1.569)
(-0.005,-0.318,1.694,3.128,-0.010,-1.569)
(-0.006,-0.318,1.694,3.126,-0.011,-1.569)
(-0.006,-0.318,1.694,3.125,-0.012,-1.568)
(-0.006,-0.318,1.694,3.124,-0.012,-1.568)
(-0.007,-0.318,1.694,3.123,-0.013,-1.568)
(-0.007,-0.318,1.695,3.122,-0.014,-1.568)
(-0.008,-0.318,1.695,3.121,-0.015,-1.568)
(-0.008,-0.318,1.695,3.120,-0.015,-1.568)
(-0.008,-0.318,1.695,3.119,-0.016,-1.568)
(-0.009,-0.318,1.695,3.118,-0.017,-1.568)
(-0.009,-0.318,1.695,3.117,-0.018,-1.568)
(-0.010,-0.317,1.695,3.116,-0.018,-1.568)
(-0.010,-0.317,1.695,3.115,-0.019,-1.568)
(-0.010,-0.317,1.695,3.114,-0.020,-1.567)
(-0.011,-0.317,1.695,3.113,-0.020,-1.568)
(-0.011,-0.317,1.695,3.112,-0.021,-1.567)
